User Rating Count,Price,In-app Purchases,Description,Developer,Age Rating,Languages,Size,Genres,Original Release Year,Original Release Month,Original Release Day,Current Version Release Year,Current Version Release Month,Current Version Release Day
2.967619316431972e-06,0.01421530109293521,0.99,0.7603833865814696,1.0003832886163282,1,2,0.005118221954081463,2.6264684727883,2009,6,7,2016,10,24
1.9784128776213148e-06,0.007071933709550682,0.99,0.2939297124600639,1.0003832886163282,1,5,0.004942595437800859,2.038839606808919,2010,4,1,2016,10,4
8.573122469692364e-06,0.0,5.656666666666667,0.3258785942492013,1.0003832886163282,2,1,0.042946435190747784,2.0448333732917767,2017,12,15,2018,4,3
3.528169631758011e-05,0.0,2.79,0.2715654952076677,0.8129551552318897,1,1,0.013374202075307219,2.6446895228961877,2012,8,9,2015,5,7
4.616296714449734e-06,0.0,2.29,0.17252396166134185,0.947872748179379,1,2,0.024242083385527045,2.66315032366339,2016,9,20,2016,9,20
0.000610010637266572,0.0,1.49,0.10223642172523961,1.0003832886163282,1,1,0.004968670990436408,2.07336370175018,2014,2,27,2014,12,17
7.913651510485259e-06,0.0,0.99,0.0926517571884984,1.0003832886163282,1,1,0.001117147745567156,2.6986334212419085,2009,7,19,2009,8,21
1.780571589859183e-05,0.0,0.99,0.09904153354632587,1.0003832886163282,1,1,0.004016146391220208,2.191560776792136,2015,12,20,2016,1,21
0.00011738583073886466,0.0,0.99,0.20766773162939298,1.0003832886163282,1,6,0.01036043060451823,2.19012227283625,2015,8,12,2018,10,31
4.286561234846182e-06,0.007071933709550682,0.99,0.31309904153354634,1.0003832886163282,1,1,0.056780794077270554,2.0685686885638934,2015,10,30,2017,5,3
1.483809658215986e-05,0.0,0.99,0.19488817891373802,0.5047911077041012,2,1,0.008858529901245235,2.515224166866459,2012,12,12,2013,11,12
3.561143179718366e-05,0.021358668476319738,2.49,0.476038338658147,0.3714066692219241,2,8,0.05064511428505692,2.6446895228961877,2012,12,13,2019,4,16
9.56232890850302e-06,0.0,8.39,0.43769968051118213,1.0003832886163282,1,5,0.01403452709940154,2.66315032366339,2018,1,12,2018,6,25
1.6486773980177622e-06,0.0,13.156666666666666,0.41214057507987223,0.8623993867382139,2,10,0.046540259886341265,2.644689522896188,2017,9,27,2018,3,26
3.627090275639077e-06,0.03564540324308879,0.99,0.36741214057507987,0.3725565350709084,3,1,0.06650978727973188,2.6264684727883,2015,11,5,2016,12,12
1.6486773980177622e-06,0.0,0.99,0.022364217252396165,0.5251054043694903,1,30,0.009034667702871634,2.13617837449053,2015,2,25,2015,12,8
