User Rating Count,Price,In-app Purchases,Developer,Age Rating,Languages,Size,Action,Adventure,Board,Books,Business,Card,Casino,Casual,Education,Entertainment,Family,Finance,Food & Drink,Games,Health & Fitness,Lifestyle,Medical,Music,Navigation,News,Photo & Video,Productivity,Puzzle,Racing,Reference,Role Playing,Shopping,Simulation,Social Networking,Sports,Strategy,Travel,Trivia,Utilities,Word,Original Release Year,Original Release Month,Original Release Day,Current Version Release Year,Current Version Release Month,Current Version Release Day
4.946032194053286e-06,0.0,0.99,0.05864315829819854,2,1,0.027160244496652358,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2016,7,1,2016,12,19
0.00027928595122420893,0.007071933709550682,0.99,0.8382522039095439,1,1,0.00024848467805639986,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2009,6,18,2017,7,3
0.00013156445636181742,0.0,2.365,0.4342660022997317,1,27,0.014437931237233845,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,4,28,2018,1,30
1.8465186857798935e-05,0.0,0.99,0.39670371789957837,1,1,0.04537376236990984,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,12,14,2019,7,4
5.3746883175379045e-05,0.01421530109293521,0.99,0.9762361057876581,1,3,0.020738756196139286,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2009,7,11,2019,4,8
0.13215369366386898,0.0,24.865,0.7937907244154848,2,18,0.05062568544191671,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,3,26,2019,7,3
3.561143179718366e-05,0.0,7.79,0.8968953622077425,1,3,0.004022844279180333,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,1,6,2013,2,27
1.0881270826917231e-05,0.0,20.49,0.487926408585665,1,11,0.031713751786303174,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2017,3,21,2017,3,26
0.00907036357293452,0.0,11.19,0.9329244921425833,2,13,0.06527503316963681,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,2,12,2019,7,16
0.002186146229771553,0.0,0.99,0.7646607895745496,1,1,0.0021450976682831804,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2009,11,18,2017,9,5
2.6378838368284194e-06,0.0,3.99,0.49865848984285166,4,1,0.019313037009389755,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2014,10,19,2019,5,18
9.232593428899467e-06,0.0,17.19,0.1766960521272518,1,1,0.05274240677350826,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2017,7,13,2018,12,13
7.155259907397087e-05,0.0,0.99,0.5937140666922193,1,1,0.0033218059125676496,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2010,7,5,2012,12,21
9.133672785018402e-05,0.0,35.82333333333333,0.9643541586814871,1,10,0.007916742294290732,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2011,12,21,2014,7,15
8.968805045216626e-05,0.01421530109293521,0.99,0.26868532004599466,1,1,0.005134583085146905,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2017,11,14,2017,12,16
7.946625058445614e-05,0.049932138009857845,0.99,0.6481410502108087,3,1,0.04269462715794371,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2014,6,12,2018,10,5
9.892064388106573e-06,0.0,2.69,0.004216174779609045,1,1,0.02196635231139323,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,9,24,2018,4,18
0.00010947217922837941,0.01421530109293521,1.99,0.051360674587964734,3,1,0.035966367649953604,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,12,22,2018,11,29
7.682836674762771e-05,0.0,7.275714285714286,0.6669221924108854,4,1,0.05240470280261062,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,8,26,2015,6,29
3.297354796035524e-05,0.0,3.8471428571428574,0.9175929474894595,2,1,0.04243591677297141,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2017,12,22,2019,1,22
1.9784128776213148e-06,0.0,0.99,0.20429283250287467,1,1,0.0010898047145621735,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,2,18,2017,1,17
1.9454393296609595e-05,0.0,0.99,0.22000766577232655,1,1,0.023465440945264347,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2016,4,29,2017,7,14
0.00015497567541366964,0.0,1.99,0.6903027980068992,1,1,0.01760227624235948,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,9,18,2019,1,21
3.2973547960355245e-06,0.0,1.5614285714285714,0.0858566500574933,1,27,0.00935805568408701,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,12,6,2018,2,1
1.0221799867710126e-05,0.007071933709550682,0.99,0.2637025680337294,2,1,0.008240897203524802,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,7,4,2015,4,22
0.00010287746963630836,0.0,0.99,0.7646607895745496,1,1,0.0016067141991609806,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2011,1,15,2017,8,30
4.946032194053286e-06,0.0,2.6566666666666667,0.48562667688769645,1,1,0.0099907712995084,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,12,9,2018,5,21
3.627090275639077e-06,0.0,2.29,0.8129551552318897,1,1,0.014690250555383706,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,11,1,2015,4,29
6.594709592071049e-06,0.0,10.656666666666666,0.02951322345726332,3,4,0.04474462575190901,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2019,2,4,2019,2,14
0.0001955331394049066,0.0,3.69,0.7489459563050977,2,1,0.04184844991065289,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2017,5,16,2018,5,27
