User Rating Count,Price,In-app Purchases,Developer,Age Rating,Languages,Size,others,Action,Adventure,Board,Books,Business,Card,Casino,Casual,Education,Entertainment,Family,Finance,Food & Drink,Games,Health & Fitness,Lifestyle,Music,News,Productivity,Puzzle,Racing,Reference,Role Playing,Simulation,Social Networking,Sports,Strategy,Travel,Trivia,Utilities,Word,Medical,Navigation,Photo & Video,Shopping,Original Release Year,Original Release Month,Original Release Day,Current Version Release Year,Current Version Release Month,Current Version Release Day
2.967619316431972e-06,0.01421530109293521,0.99,1.0003832886163282,2,2,0.005118221954081463,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2009,6,7,2016,10,24
1.9784128776213148e-06,0.007071933709550682,0.99,1.0003832886163282,1,5,0.004942595437800859,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2010,4,1,2016,10,4
8.573122469692364e-06,0.0,5.656666666666667,1.0003832886163282,1,1,0.042946435190747784,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017,12,15,2018,4,3
3.528169631758011e-05,0.0,2.79,0.8129551552318897,1,1,0.013374202075307219,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2012,8,9,2015,5,7
4.616296714449734e-06,0.0,2.29,0.947872748179379,1,2,0.024242083385527045,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016,9,20,2016,9,20
0.000610010637266572,0.0,1.49,1.0003832886163282,2,1,0.004968670990436408,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2014,2,27,2014,12,17
7.913651510485259e-06,0.0,0.99,1.0003832886163282,1,1,0.001117147745567156,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2009,7,19,2009,8,21
1.780571589859183e-05,0.0,0.99,1.0003832886163282,1,1,0.004016146391220208,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015,12,20,2016,1,21
0.00011738583073886466,0.0,0.99,1.0003832886163282,2,6,0.01036043060451823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015,8,12,2018,10,31
4.286561234846182e-06,0.007071933709550682,0.99,1.0003832886163282,1,1,0.056780794077270554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2015,10,30,2017,5,3
1.483809658215986e-05,0.0,0.99,0.5047911077041012,4,1,0.008858529901245235,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2012,12,12,2013,11,12
3.561143179718366e-05,0.021358668476319738,2.49,0.3714066692219241,1,8,0.05064511428505692,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2012,12,13,2019,4,16
9.56232890850302e-06,0.0,8.39,1.0003832886163282,1,5,0.01403452709940154,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2018,1,12,2018,6,25
1.6486773980177622e-06,0.0,13.156666666666666,0.8623993867382139,1,10,0.046540259886341265,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017,9,27,2018,3,26
3.627090275639077e-06,0.03564540324308879,0.99,0.3725565350709084,1,1,0.06650978727973188,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015,11,5,2016,12,12
1.6486773980177622e-06,0.0,0.99,0.5251054043694903,3,30,0.009034667702871634,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015,2,25,2015,12,8
1.483809658215986e-05,0.0,2.99,1.0003832886163282,1,2,0.018469416188827904,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,3,19,2019,7,19
1.2859683704538544e-05,0.021358668476319738,0.99,1.0003832886163282,3,1,0.008299950660964131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2013,4,21,2016,5,11
0.00013387260471904228,0.0,28.656666666666666,0.7205825986968187,4,1,0.029442110994935718,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2013,6,20,2018,4,6
